name,address,latitude,longitude,date,start_time,end_time,hours,rating,website,types,price,featured,sold_out
"VHIR Vall d'Hebron Institut de Recerca","VHIR Edifici Central, Pg. de la Vall d'Hebron, 129, Horta-Guinardó, 08035 Barcelona, Spain","41.427933","2.139304","","","","Monday: 8:00 AM – 7:00 PM | Tuesday: 8:00 AM – 7:00 PM | Wednesday: 8:00 AM – 7:00 PM | Thursday: 8:00 AM – 7:00 PM | Friday: 8:00 AM – 7:00 PM | Saturday: Closed | Sunday: Closed","4.5","https://vhir.vallhebron.com/","establishment, point_of_interest","","false","false"
"VHIO Vall d'Hebron Institut d’Oncologia","Centro Cellex, Carrer de Natzaret, 117, Horta-Guinardó, 08035 Barcelona, Spain","41.4286615","2.1374636","","","","Monday: 7:00 AM – 8:00 PM | Tuesday: 7:00 AM – 8:00 PM | Wednesday: 7:00 AM – 8:00 PM | Thursday: 7:00 AM – 8:00 PM | Friday: 7:00 AM – 8:00 PM | Saturday: Closed | Sunday: Closed","4.5","https://vhio.net/es/inicio/","establishment, point_of_interest","","false","false"
"Parc de la Vall d'Hebron","Horta-Guinardó, 08035 Barcelona, Spain","41.431312","2.145728","","","","","3.8","","establishment, point_of_interest, transit_station","","false","false"
"Aventura Park Barcelona | Avinguda Roma","Avinguda de Roma, 35, Eixample, 08029 Barcelona, Spain","41.3820086","2.1461683","","","","Monday: Closed | Tuesday: 5:00 – 8:30 PM | Wednesday: 5:00 – 8:30 PM | Thursday: 5:00 – 8:30 PM | Friday: 5:00 – 9:00 PM | Saturday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM | Sunday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM","4.3","https://aventurapark.com/parque-infantil-tematico-avda-roma-barcelona/","establishment, point_of_interest","","false","false"
"Centre Cultural La Farinera del Clot","Gran Via de les Corts Catalanes, 837, Sant Martí, 08018 Barcelona, Spain","41.4052371","2.1881919","","","","Monday: 9:00 AM – 10:00 PM | Tuesday: 9:00 AM – 10:00 PM | Wednesday: 9:00 AM – 10:00 PM | Thursday: 9:00 AM – 10:00 PM | Friday: 9:00 AM – 10:00 PM | Saturday: 10:00 AM – 2:00 PM, 4:00 – 8:00 PM | Sunday: Closed","4.4","http://farinera.org/","establishment, point_of_interest","","false","false"
"Ajuntament de Santa Fe del Penedès","Carrer de l'Horta, 1, 08792 Santa Fe del Penedès, Barcelona, Spain","41.3844558","1.7212089","","","","Monday: 10:00 AM – 2:00 PM | Tuesday: 10:00 AM – 2:00 PM | Wednesday: 10:00 AM – 2:00 PM, 5:00 – 8:00 PM | Thursday: 10:00 AM – 2:00 PM | Friday: 10:00 AM – 2:00 PM | Saturday: Closed | Sunday: Closed","4.2","https://www.santafepenedes.cat/","establishment, point_of_interest","","false","false"
"Fira Barcelona Gran Via","Carrer dels Alts Forns, 14, Sants-Montjuïc, 08038 Barcelona, Spain","41.35597629999999","2.1344128","","","","","4.5","https://www.firabarcelona.com/","establishment, point_of_interest","","false","false"
"Plaça Major de Nou Barris","Plaça Major de Nou Barris, 1, Nou Barris, 08042 Barcelona, Spain","41.4366829","2.1713142","","","","","4.5","","establishment, point_of_interest","","false","false"
"9 Birras Fest","Plaça Major de Nou Barris, Nou Barris, 08042 Barcelona, Spain","41.4366897","2.1714963","","","","","4.5","https://www.9birrasfest.com/","establishment, point_of_interest","","false","false"
"Seu del Districte de Nou Barris | Ajuntament de Barcelona","Plaça Major de Nou Barris, 1, Nou Barris, 08042 Barcelona, Spain","41.4369202","2.1712029","","","","Monday: 8:30 AM – 2:30 PM | Tuesday: 8:30 AM – 2:30 PM | Wednesday: 8:30 AM – 2:30 PM | Thursday: 8:30 AM – 2:30 PM | Friday: 8:30 AM – 2:30 PM | Saturday: Closed | Sunday: Closed","3.8","https://ajuntament.barcelona.cat/noubarris/ca","city_hall, establishment, local_government_office, point_of_interest","","false","false"
"Parc Central de Nou Barris","Plaça Major de Nou Barris, 1, Nou Barris, 08042 Barcelona, Spain","41.4365386","2.1677429","","","","Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours","4.3","http://www.barcelonaturisme.com/wv3/en/page/524/parc-central-de-nou-barris.html","establishment, park, point_of_interest, tourist_attraction","","false","false"
"Oficina d'Atenció Ciutadana del Districte de Nou Barris","Plaça Major de Nou Barris, 1, Nou Barris, 08042 Barcelona, Spain","41.4368621","2.1712251","","","","Monday: 8:30 AM – 2:30 PM | Tuesday: 8:30 AM – 2:30 PM | Wednesday: 8:30 AM – 2:30 PM | Thursday: 8:30 AM – 6:30 PM | Friday: 8:30 AM – 2:30 PM | Saturday: Closed | Sunday: Closed","3.9","http://ajuntament.barcelona.cat/","establishment, local_government_office, point_of_interest","","false","false"
"Festes de Maig","Carrer de Jesús, 1, 08911 Badalona, Barcelona, Spain","41.448224","2.2491969","","","","","3","https://festesdemaig.cat/","establishment, point_of_interest","","false","false"
"Sala d'esdeveniments Marquès de Sant Mori - Monfesta","Avinguda del Marquès de Sant Mori, 219, 08914 Badalona, Barcelona, Spain","41.4432477","2.2247425","","","","Monday: 10:00 AM – 2:00 AM | Tuesday: 10:00 AM – 2:00 AM | Wednesday: 10:00 AM – 2:00 AM | Thursday: 10:00 AM – 2:00 AM | Friday: 10:00 AM – 2:00 AM | Saturday: 10:00 AM – 2:00 AM | Sunday: 10:00 AM – 2:00 AM","3.9","http://www.monfesta.com/","establishment, point_of_interest","","false","false"
"L'Hdigital Mitjans de comunicació de L'Hospitalet","Pl. Francesc Macià, 25, 08902 L'Hospitalet de Llobregat, Barcelona, Spain","41.3642736","2.1280612","","","","Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours","4.4","","establishment, point_of_interest","","false","false"
"Jardins de Can Sumarro","Carrer de Barcelona, 130, 08901 L'Hospitalet de Llobregat, Barcelona, Spain","41.3600801","2.097009","","","","Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours","4.3","http://www.l-h.cat/biblioteques/cansumarro_2.aspx","establishment, point_of_interest","","false","false"
"Hospitalet de Llobregat City Hall","Plaça de l'Ajuntament, 11, 08901 L'Hospitalet de Llobregat, Barcelona, Spain","41.3594648","2.0996272","","","","","3.2","http://l-h.cat/","city_hall, establishment, local_government_office, point_of_interest","","false","false"
